customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Churn
CUST-0068,Female,1,Yes,No,69,Yes,No,Month-to-month,Yes,Electronic check,90.62,7434.7,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0069,Female,0,No,No,48,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),76.66,4041.5,Yes,Yes,Yes,No,Yes,Yes,No,0
CUST-0070,Female,0,No,Yes,54,Yes,DSL,Two year,No,Bank transfer (automatic),26.95,1449.64,Yes,Yes,No,Yes,No,No,No,0
CUST-0071,Female,0,No,No,30,Yes,DSL,Two year,Yes,Bank transfer (automatic),105.51,3789.54,Yes,Yes,Yes,No,No,No,No,0
CUST-0072,Male,0,No,No,20,Yes,Fiber optic,Month-to-month,Yes,Mailed check,31.15,501.16,Yes,Yes,No,No,No,Yes,Yes,0
CUST-0073,Female,1,No,No,15,Yes,Fiber optic,Month-to-month,Yes,Electronic check,62.3,1076.63,No,Yes,Yes,No,No,No,Yes,1
CUST-0074,Male,0,No,Yes,16,Yes,No,Month-to-month,Yes,Credit card (automatic),31.43,469.05,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
CUST-0075,Female,1,Yes,No,0,Yes,DSL,Month-to-month,Yes,Credit card (automatic),83.19,0.0,Yes,No,Yes,No,No,Yes,No,1
CUST-0076,Female,1,Yes,No,71,Yes,Fiber optic,Two year,No,Credit card (automatic),92.4,6283.12,No,No,No,No,No,Yes,Yes,0
CUST-0077,Female,0,No,No,64,Yes,DSL,Two year,Yes,Credit card (automatic),113.45,6398.5,Yes,Yes,No,Yes,Yes,Yes,Yes,0
CUST-0078,Male,0,Yes,No,65,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),43.64,2601.46,No,No,No,No,Yes,No,No,0
CUST-0079,Female,0,No,No,36,Yes,No,Month-to-month,Yes,Mailed check,55.06,2075.18,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0080,Male,1,Yes,No,23,Yes,Fiber optic,Two year,Yes,Mailed check,57.12,1280.65,No,Yes,Yes,No,No,Yes,No,0
CUST-0081,Female,0,No,Yes,61,Yes,Fiber optic,One year,Yes,Credit card (automatic),28.0,1521.2,No,No,No,No,No,Yes,Yes,0
CUST-0082,Male,1,Yes,Yes,20,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),99.44,2363.54,No,Yes,Yes,No,No,No,No,1
CUST-0083,Female,0,Yes,Yes,36,No,DSL,Month-to-month,Yes,Mailed check,26.56,943.92,No phone service,Yes,No,No,Yes,No,No,1
CUST-0084,Male,0,No,Yes,34,Yes,No,Month-to-month,No,Bank transfer (automatic),52.27,1455.63,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0085,Male,1,Yes,No,37,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),37.38,1201.14,No,Yes,Yes,No,No,No,No,0
CUST-0086,Female,0,Yes,No,52,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),85.02,4250.79,Yes,No,No,No,No,No,No,0
CUST-0087,Male,0,Yes,No,14,Yes,No,One year,No,Credit card (automatic),109.26,1747.7,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0088,Female,0,No,No,41,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),93.27,3647.34,No,No,No,Yes,No,Yes,Yes,1
CUST-0089,Female,0,No,No,3,Yes,Fiber optic,Two year,No,Bank transfer (automatic),96.09,324.58,Yes,Yes,Yes,Yes,Yes,No,No,0
CUST-0090,Female,0,No,No,38,Yes,Fiber optic,Month-to-month,No,Mailed check,26.14,856.77,Yes,No,No,Yes,No,Yes,No,1
CUST-0091,Female,0,Yes,No,22,Yes,DSL,Month-to-month,Yes,Electronic check,92.52,1884.8,No,No,No,No,Yes,Yes,No,0
CUST-0092,Female,1,No,Yes,14,Yes,Fiber optic,One year,No,Electronic check,24.53,355.11,Yes,Yes,Yes,Yes,Yes,No,Yes,1
CUST-0093,Female,1,Yes,No,11,Yes,No,Month-to-month,No,Electronic check,66.91,608.94,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
CUST-0094,Female,0,No,Yes,69,No,DSL,Two year,Yes,Electronic check,87.79,6978.69,No phone service,Yes,Yes,No,No,No,Yes,0
CUST-0095,Female,0,No,No,53,Yes,Fiber optic,Month-to-month,No,Mailed check,43.85,2163.96,No,No,Yes,Yes,No,No,No,1
CUST-0096,Female,0,No,No,37,Yes,DSL,Month-to-month,Yes,Mailed check,86.85,3552.17,Yes,No,No,No,Yes,No,Yes,1
CUST-0097,Female,0,No,No,27,Yes,DSL,Month-to-month,No,Electronic check,106.74,3101.12,No,No,No,No,Yes,Yes,No,1
CUST-0098,Female,1,No,Yes,18,Yes,Fiber optic,Two year,Yes,Electronic check,106.49,1932.89,No,Yes,No,Yes,No,Yes,Yes,1
CUST-0099,Male,0,No,No,68,No,Fiber optic,Month-to-month,Yes,Mailed check,37.56,2804.23,No phone service,Yes,Yes,No,No,Yes,No,0
CUST-0100,Male,0,Yes,No,63,Yes,Fiber optic,Two year,Yes,Mailed check,45.84,3086.41,No,Yes,No,No,No,No,Yes,0
CUST-0101,Female,0,No,Yes,3,No,No,One year,No,Electronic check,85.19,298.12,No phone service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
CUST-0102,Female,0,Yes,Yes,9,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),102.8,1100.49,No,Yes,No,No,Yes,Yes,No,0
CUST-0103,Female,0,Yes,No,11,Yes,DSL,Two year,Yes,Electronic check,64.0,762.1,Yes,No,No,Yes,No,No,Yes,0
CUST-0104,Female,0,Yes,Yes,68,Yes,Fiber optic,Month-to-month,Yes,Mailed check,110.93,8429.15,No,No,Yes,No,Yes,No,No,0
CUST-0105,Female,0,Yes,No,6,No,No,One year,No,Electronic check,76.0,418.38,No phone service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0106,Female,0,Yes,No,43,Yes,DSL,Month-to-month,Yes,Electronic check,44.58,2191.15,No,Yes,Yes,No,No,Yes,No,1
CUST-0107,Female,0,No,No,22,Yes,Fiber optic,Month-to-month,No,Electronic check,20.26,376.17,No,Yes,No,No,No,No,No,1
CUST-0108,Female,0,Yes,Yes,1,Yes,DSL,Month-to-month,Yes,Mailed check,99.39,117.15,Yes,No,No,No,No,No,No,1
CUST-0109,Male,0,Yes,No,36,Yes,DSL,Two year,Yes,Bank transfer (automatic),27.58,965.99,Yes,Yes,Yes,No,No,No,No,0
CUST-0110,Female,0,No,No,68,Yes,No,Two year,No,Electronic check,26.13,1623.72,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0111,Male,0,Yes,Yes,19,Yes,No,One year,No,Bank transfer (automatic),96.35,1717.05,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0112,Female,0,No,Yes,43,Yes,DSL,Month-to-month,No,Credit card (automatic),21.43,955.76,No,No,Yes,Yes,Yes,Yes,No,0
CUST-0113,Female,0,No,Yes,69,Yes,No,Two year,No,Electronic check,102.95,7335.44,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0114,Male,0,No,No,50,Yes,DSL,One year,Yes,Mailed check,78.42,3523.87,Yes,Yes,Yes,No,No,No,No,0
CUST-0115,Female,1,No,No,30,Yes,Fiber optic,One year,Yes,Mailed check,82.22,2900.31,Yes,Yes,Yes,No,Yes,No,No,1
CUST-0116,Male,1,Yes,Yes,40,Yes,Fiber optic,Month-to-month,Yes,Electronic check,112.52,4107.55,Yes,Yes,No,Yes,Yes,Yes,Yes,0
CUST-0117,Female,0,Yes,No,57,Yes,Fiber optic,Month-to-month,No,Mailed check,105.35,6671.36,Yes,Yes,Yes,No,No,No,Yes,0
CUST-0118,Female,1,Yes,No,4,Yes,No,One year,Yes,Mailed check,25.89,123.65,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0119,Male,0,No,No,32,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),103.98,2950.75,No,No,No,Yes,No,No,Yes,0
CUST-0120,Female,0,Yes,No,42,Yes,Fiber optic,One year,Yes,Credit card (automatic),85.3,3747.38,No,No,No,No,Yes,No,No,0
CUST-0121,Male,0,Yes,Yes,18,Yes,No,Month-to-month,No,Bank transfer (automatic),50.09,893.1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0122,Female,0,Yes,Yes,31,No,DSL,Two year,Yes,Mailed check,104.01,2695.63,No phone service,Yes,No,No,Yes,No,Yes,0
CUST-0123,Male,0,No,No,2,Yes,Fiber optic,Two year,Yes,Mailed check,20.59,41.29,Yes,No,Yes,Yes,No,No,Yes,0
CUST-0124,Male,0,Yes,Yes,0,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),102.42,0.0,No,No,No,No,No,Yes,Yes,1
CUST-0125,Female,0,No,No,40,Yes,No,Month-to-month,No,Bank transfer (automatic),80.58,2993.39,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0126,Female,0,Yes,No,47,Yes,Fiber optic,One year,Yes,Mailed check,44.5,1891.79,No,No,No,Yes,No,No,Yes,0
CUST-0127,Male,0,Yes,No,38,Yes,No,Month-to-month,No,Bank transfer (automatic),18.85,650.03,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
CUST-0128,Female,1,Yes,No,4,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),70.64,271.37,Yes,Yes,No,No,Yes,Yes,Yes,1
CUST-0129,Female,0,No,No,10,Yes,DSL,Month-to-month,No,Mailed check,60.69,501.53,Yes,No,No,No,No,No,No,1
CUST-0130,Female,0,No,No,21,Yes,No,Two year,Yes,Credit card (automatic),104.94,2531.72,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0131,Male,0,Yes,No,63,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),97.44,5202.23,No,No,Yes,Yes,No,No,Yes,1
CUST-0132,Male,0,Yes,No,11,Yes,Fiber optic,Month-to-month,No,Mailed check,77.51,914.26,Yes,Yes,No,Yes,Yes,No,No,1
CUST-0133,Male,0,No,No,52,Yes,No,Month-to-month,Yes,Credit card (automatic),33.41,1538.04,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0134,Male,0,Yes,No,54,Yes,Fiber optic,Two year,No,Credit card (automatic),91.23,5803.53,No,No,No,No,Yes,Yes,No,0
CUST-0135,Male,0,Yes,Yes,52,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),77.91,3724.68,Yes,No,No,Yes,Yes,No,No,0
CUST-0136,Male,0,Yes,Yes,20,Yes,Fiber optic,One year,No,Electronic check,20.52,446.01,No,Yes,Yes,No,No,No,No,1
CUST-0137,Male,0,Yes,No,18,Yes,Fiber optic,Month-to-month,Yes,Electronic check,94.81,1906.54,Yes,Yes,No,No,Yes,No,Yes,1
CUST-0138,Male,0,Yes,No,68,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),101.84,7359.4,Yes,Yes,No,No,Yes,No,Yes,0
CUST-0139,Male,0,Yes,No,71,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),96.09,6292.12,No,No,Yes,No,No,No,Yes,0
CUST-0140,Female,0,Yes,No,65,Yes,No,Month-to-month,No,Electronic check,35.97,2009.7,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
CUST-0141,Male,0,No,Yes,58,No,Fiber optic,Two year,Yes,Mailed check,68.75,4038.16,No phone service,Yes,No,No,No,Yes,Yes,0
CUST-0142,Female,0,Yes,No,48,Yes,DSL,One year,Yes,Bank transfer (automatic),71.24,3639.87,No,No,Yes,No,No,Yes,No,0
CUST-0143,Female,1,No,No,58,Yes,Fiber optic,One year,Yes,Mailed check,112.15,7587.53,Yes,Yes,Yes,No,No,Yes,No,0
CUST-0144,Female,1,Yes,No,22,Yes,DSL,Month-to-month,No,Mailed check,111.27,2356.85,No,No,No,Yes,Yes,No,Yes,1
CUST-0145,Male,1,No,No,2,Yes,Fiber optic,One year,Yes,Electronic check,24.51,51.99,Yes,No,No,No,No,No,No,0
CUST-0146,Male,0,Yes,No,55,Yes,DSL,Month-to-month,No,Credit card (automatic),118.67,6746.69,Yes,No,Yes,No,No,No,Yes,0
CUST-0147,Male,0,No,No,57,Yes,DSL,Two year,No,Mailed check,97.31,5188.23,Yes,No,Yes,Yes,Yes,No,No,0
CUST-0148,Male,0,Yes,No,61,Yes,No,Month-to-month,Yes,Electronic check,55.99,3248.62,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0149,Female,0,No,No,17,Yes,Fiber optic,Two year,Yes,Mailed check,92.95,1688.84,No,Yes,Yes,Yes,Yes,No,No,0
CUST-0150,Male,0,Yes,No,60,Yes,Fiber optic,Month-to-month,Yes,Electronic check,56.1,3490.53,Yes,No,No,Yes,Yes,No,Yes,1
CUST-0151,Male,0,Yes,Yes,36,Yes,DSL,Month-to-month,Yes,Mailed check,112.35,3670.95,No,No,No,No,No,Yes,Yes,0
CUST-0152,Male,1,No,No,53,Yes,No,One year,Yes,Mailed check,56.25,2714.21,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0153,Male,0,No,No,64,Yes,No,Month-to-month,Yes,Electronic check,95.24,6787.32,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0154,Male,1,Yes,No,13,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),33.86,393.73,No,No,No,Yes,Yes,No,No,1
CUST-0155,Female,0,No,No,4,Yes,Fiber optic,Two year,No,Mailed check,103.91,443.74,No,No,No,No,Yes,Yes,No,0
CUST-0156,Male,0,Yes,No,61,Yes,DSL,Month-to-month,Yes,Electronic check,80.6,5133.95,No,Yes,No,No,No,Yes,No,0
CUST-0157,Female,0,Yes,No,0,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),99.41,0.0,No,Yes,No,Yes,No,Yes,No,1
CUST-0158,Male,0,No,No,62,Yes,Fiber optic,Two year,Yes,Mailed check,60.25,3296.0,No,No,No,Yes,No,No,No,0
CUST-0159,Female,0,Yes,No,66,Yes,No,Month-to-month,No,Credit card (automatic),53.05,3280.45,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0160,Male,0,No,Yes,19,Yes,Fiber optic,Month-to-month,No,Mailed check,71.78,1288.86,No,Yes,No,No,No,Yes,Yes,0
CUST-0161,Male,0,Yes,No,42,Yes,Fiber optic,Two year,Yes,Mailed check,57.26,1951.11,Yes,No,Yes,No,No,No,No,0
CUST-0162,Female,0,No,Yes,41,Yes,DSL,Two year,No,Credit card (automatic),69.92,2318.99,Yes,No,No,No,No,Yes,No,0
CUST-0163,Female,1,No,Yes,68,Yes,DSL,One year,Yes,Mailed check,61.53,3421.26,Yes,No,No,Yes,No,No,No,0
CUST-0164,Female,0,No,No,38,Yes,DSL,Two year,No,Bank transfer (automatic),38.01,1453.41,No,No,No,No,Yes,No,Yes,0
CUST-0165,Male,1,No,No,61,Yes,Fiber optic,Month-to-month,No,Electronic check,116.4,5808.65,No,No,No,Yes,No,Yes,Yes,1
CUST-0166,Female,0,Yes,Yes,47,Yes,DSL,Month-to-month,No,Electronic check,19.87,1008.05,Yes,No,Yes,Yes,Yes,No,No,0
CUST-0167,Male,0,No,No,5,Yes,No,One year,Yes,Mailed check,111.28,622.24,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1
CUST-0168,Male,0,Yes,No,41,Yes,No,One year,Yes,Bank transfer (automatic),101.4,4559.88,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0169,Female,0,No,Yes,57,Yes,Fiber optic,One year,No,Bank transfer (automatic),60.55,4007.56,Yes,No,No,No,No,No,Yes,0
CUST-0170,Female,0,No,No,42,Yes,No,One year,No,Bank transfer (automatic),50.62,2250.87,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0171,Male,0,No,No,9,No,DSL,Two year,Yes,Credit card (automatic),34.8,295.33,No phone service,Yes,No,Yes,Yes,No,Yes,0
CUST-0172,Male,0,No,No,38,Yes,No,Month-to-month,Yes,Electronic check,31.62,1061.0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0173,Female,0,Yes,No,12,Yes,No,Two year,No,Bank transfer (automatic),73.62,815.63,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0
CUST-0174,Female,0,No,No,38,Yes,DSL,One year,Yes,Mailed check,28.85,1200.98,Yes,No,No,No,No,No,No,0
